Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Non-Travel,Travel_Frequently,Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,Education_Human Resources,Education_Life Sciences,Education_Marketing,Education_Medical,Education_Other,Education_Technical Degree,Role_Healthcare Representative,Role_Human Resources,Role_Laboratory Technician,Role_Manager,Role_Manufacturing Director,Role_Research Director,Role_Research Scientist,Role_Sales Executive,Role_Sales Representative,Status_Divorced,Status_Married,Status_Single
21,984,1,1,4,1,70,2,1,2,2070,25326,1,1,11,3,3,0,2,6,4,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
48,163,2,5,2,1,37,3,2,4,4051,19658,2,0,14,3,1,1,14,2,3,9,7,6,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,1154,2,2,1,0,54,3,1,3,3067,6393,0,0,19,3,3,1,3,1,3,2,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45,974,1,4,4,1,91,3,1,4,2270,11005,3,0,14,3,4,2,8,2,3,5,3,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
27,1277,8,5,1,0,87,1,1,3,4621,5869,1,0,19,3,4,3,3,4,3,3,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,408,9,4,3,0,42,2,1,2,2657,7551,0,1,16,3,4,0,3,5,3,2,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24,897,10,3,1,0,59,3,1,4,2145,2097,0,0,14,3,4,1,3,2,3,2,2,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,635,18,1,2,1,73,3,1,4,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,1271,2,1,2,0,35,3,1,4,2515,9068,5,1,14,3,4,0,8,2,3,2,1,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,1219,18,3,3,1,86,3,2,3,4601,6179,1,0,16,3,2,0,5,3,3,5,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,746,2,3,4,0,61,3,2,3,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,1383,10,3,4,0,90,3,3,1,8321,25949,7,1,13,3,4,1,15,1,3,12,8,5,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
38,770,10,4,3,0,73,2,3,3,8740,5569,0,1,14,3,2,2,9,2,3,8,7,2,7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,1308,14,3,3,0,44,2,5,3,19626,17544,1,0,14,3,1,0,21,2,4,20,7,4,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,991,1,2,4,1,44,3,1,1,3423,22957,6,0,12,3,3,0,10,3,4,7,6,5,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
39,722,24,1,2,1,60,2,4,4,12031,8828,0,0,11,3,1,1,21,2,2,20,9,9,6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
31,1079,16,4,1,0,70,3,3,3,8161,19002,2,0,13,3,1,3,10,2,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
49,279,8,1,3,0,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,1479,24,3,2,1,100,4,4,2,13194,17071,4,1,16,3,4,0,22,2,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42,532,29,2,1,1,92,3,2,3,4556,12932,2,0,11,3,2,1,19,3,3,5,4,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
31,471,4,3,1,1,62,4,1,3,3978,16031,8,0,12,3,2,1,4,0,2,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,1336,2,3,1,0,100,3,1,2,2592,7129,5,0,13,3,4,3,13,3,3,11,10,3,8,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54,821,5,2,1,0,86,3,5,1,19406,8509,4,0,11,3,3,1,24,4,2,4,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,1200,22,3,4,1,75,3,2,4,5467,13953,3,1,14,3,1,2,12,4,2,6,2,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,878,1,4,2,0,94,3,2,3,6728,14255,7,0,12,3,4,2,12,3,3,6,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,384,8,4,1,1,72,3,1,4,2572,20317,1,0,16,3,2,1,3,1,2,3,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45,1038,20,3,2,0,95,1,3,1,10851,19863,2,1,18,3,2,1,24,2,3,7,7,0,7,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33,867,8,4,4,0,90,4,1,1,3143,6076,6,0,19,3,2,1,14,1,3,10,8,7,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,1111,8,2,3,1,93,3,2,1,6500,13305,5,0,17,3,2,1,6,1,3,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,1377,11,1,2,0,91,3,1,1,2099,7679,0,0,14,3,2,0,6,3,4,5,0,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
39,1162,3,2,4,1,41,3,2,3,5238,17778,4,1,18,3,1,0,12,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,660,7,1,4,0,76,3,1,3,2404,16192,1,0,13,3,1,1,1,3,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32,379,5,2,2,0,48,3,2,2,6524,8891,1,0,14,3,4,1,10,3,3,10,8,5,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24,1448,1,1,1,1,62,3,1,2,3202,21972,1,1,16,3,2,0,6,4,3,5,3,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
26,887,5,2,3,1,88,2,1,3,2366,20898,1,1,14,3,1,1,8,2,3,8,7,1,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,902,26,2,3,1,92,2,2,4,4422,21203,3,1,13,3,4,1,16,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
47,1482,5,5,4,0,42,3,5,3,18300,16375,4,0,11,3,2,1,21,2,3,3,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,496,11,2,1,0,60,3,2,1,4741,22722,1,1,13,3,3,1,5,3,3,5,3,3,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
34,182,1,4,2,1,72,4,1,4,3280,13551,2,0,16,3,3,0,10,2,3,4,2,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35,682,18,4,2,0,71,3,2,1,5561,15975,0,0,16,3,4,1,6,2,1,5,3,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
