MonthlyIncome,ExternalExperienceRatio,OverTime,Role_Research Director,NumCompaniesWorked,CompanyTenureRatio,JobLevel,YearsAtCompany,RoleTenureRatio,Role_Human Resources,SatisfactionIndex,DistanceFromHome,Department_Human Resources,Non-Travel,YearsInCurrentRole,YearsSinceLastPromotion,Role_Sales Representative,Travel_Frequently,Role_Sales Executive,Age,Role_Laboratory Technician,EnvironmentSatisfaction,Role_Healthcare Representative,IncomePerJobLevel,StockOptionLevel,JobInvolvement,Status_Single,Role_Manager,Role_Manufacturing Director,JobSatisfaction,Education_Technical Degree,TrainingTimesLastYear,Role_Research Scientist,Department_Research & Development,ManagerTenureRatio,WorkLifeBalance
2070,0.0,1,0,1,0.6666666666666666,1,2,0.6666666666666666,0,3.0,1,0,0,2,2,0,0,0,21,0,4,0,2070.0,0,2,1,0,0,2,1,6,1,1,0.6666666666666666,4
4051,0.3333333333333333,0,0,2,0.6,2,9,0.7,0,2.6,2,0,0,7,6,0,0,1,48,0,2,0,2025.5,1,3,0,0,0,4,0,2,0,0,0.7,3
3067,0.25,0,0,0,0.5,1,2,0.6666666666666666,0,2.6,2,0,0,2,1,1,0,0,31,0,1,0,3067.0,1,3,0,0,0,3,0,1,0,0,0.6666666666666666,3
2270,0.3333333333333333,0,0,3,0.5555555555555556,1,5,0.5,0,3.6,1,0,0,3,0,0,0,0,45,1,4,0,2270.0,2,3,0,0,0,4,0,2,0,1,0.3333333333333333,3
4621,0.0,0,0,1,0.75,1,3,0.5,0,2.4,8,0,1,2,1,0,0,0,27,1,1,0,4621.0,3,1,0,0,0,3,0,4,0,1,0.5,3
2657,0.25,1,0,0,0.5,1,2,0.6666666666666666,0,2.8,9,0,0,2,2,0,0,0,31,0,3,0,2657.0,0,2,1,0,0,2,0,5,1,1,0.6666666666666666,3
2145,0.25,0,0,0,0.5,1,2,0.6666666666666666,1,3.0,10,1,0,2,2,0,1,0,24,0,1,0,2145.0,1,3,0,0,0,4,0,2,0,0,0.3333333333333333,3
2153,0.0,0,0,1,0.8888888888888888,1,8,0.1111111111111111,0,2.6,18,0,0,1,1,0,1,0,36,1,2,0,2153.0,0,3,1,0,0,4,0,2,0,1,0.7777777777777778,3
2515,0.6666666666666666,1,0,5,0.2222222222222222,1,2,0.3333333333333333,0,3.2,2,0,0,1,2,0,1,0,42,0,2,0,2515.0,0,3,1,0,0,4,0,2,1,1,0.6666666666666666,3
4601,0.0,0,0,1,0.8333333333333334,2,5,0.3333333333333333,0,2.8,18,0,0,2,1,0,0,1,35,0,3,0,2300.5,0,3,0,0,0,3,0,3,0,0,0.0,3
4649,0.0,0,0,1,0.8,2,4,0.6,0,2.6,2,0,1,3,0,0,0,1,29,0,4,0,2324.5,1,3,0,0,0,3,0,3,0,0,0.4,2
8321,0.1875,1,0,7,0.75,3,12,0.6153846153846154,0,3.0,10,0,0,8,5,0,0,0,36,0,4,1,2773.6666666666665,1,3,0,0,0,1,0,1,0,1,0.5384615384615384,3
8740,0.1,1,0,0,0.8,3,8,0.7777777777777778,0,2.6,10,0,0,7,2,0,0,1,38,0,3,0,2913.3333333333335,2,2,0,0,0,3,0,2,0,0,0.7777777777777778,3
19626,0.045454545454545456,0,1,1,0.9090909090909091,5,20,0.3333333333333333,0,2.6,14,0,0,7,4,0,0,0,40,0,3,0,3925.2,0,2,1,0,0,3,0,2,0,1,0.42857142857142855,4
3423,0.2727272727272727,0,0,6,0.6363636363636364,1,7,0.75,1,3.0,1,1,0,6,5,0,0,0,46,0,4,0,3423.0,0,3,1,0,0,1,0,3,0,0,0.875,4
12031,0.045454545454545456,0,0,0,0.9090909090909091,4,20,0.42857142857142855,0,2.2,24,0,0,9,9,0,0,1,39,0,2,0,3007.75,1,2,0,0,0,4,0,2,0,0,0.2857142857142857,2
8161,0.8181818181818182,0,0,2,0.09090909090909091,3,1,0.0,0,2.2,16,0,0,0,0,0,0,1,31,0,1,0,2720.3333333333335,3,3,0,0,0,3,0,2,0,0,0.0,3
5130,0.0,0,0,1,0.9090909090909091,2,10,0.6363636363636364,0,2.8,8,0,0,7,1,0,1,0,49,0,3,0,2565.0,1,2,0,0,0,2,0,3,1,1,0.6363636363636364,3
13194,0.9130434782608695,1,0,4,0.043478260869565216,4,1,0.0,0,2.8,24,0,1,0,0,0,0,1,40,0,2,0,3298.5,0,4,1,0,0,2,0,2,0,0,0.0,2
4556,0.7,0,0,2,0.25,2,5,0.6666666666666666,0,2.4,29,0,0,4,0,0,1,0,42,0,1,0,2278.0,1,3,0,0,0,3,0,3,1,1,0.3333333333333333,3
3978,0.4,0,0,8,0.4,1,2,0.6666666666666666,0,2.4,4,0,0,2,2,0,0,0,31,1,1,0,3978.0,1,4,0,0,0,3,0,0,0,1,0.6666666666666666,2
2592,0.14285714285714285,0,0,5,0.7857142857142857,1,11,0.8333333333333334,1,2.6,2,1,1,10,3,0,0,0,38,0,1,0,2592.0,3,3,0,0,0,2,0,3,0,0,0.6666666666666666,3
19406,0.8,0,1,4,0.16,5,4,0.4,0,2.0,5,0,0,2,1,0,0,0,54,0,1,0,3881.2,1,3,0,0,0,1,0,4,0,1,0.4,2
5467,0.46153846153846156,1,0,3,0.46153846153846156,2,6,0.2857142857142857,0,2.8,22,0,0,2,3,0,1,0,41,0,4,0,2733.5,2,3,0,0,0,4,0,4,1,1,0.42857142857142855,2
6728,0.46153846153846156,0,0,7,0.46153846153846156,2,6,0.42857142857142855,0,3.0,1,0,0,3,0,0,1,1,50,0,2,0,3364.0,2,3,0,0,0,3,0,3,0,0,0.14285714285714285,3
2572,0.0,0,0,1,0.75,1,3,0.5,0,2.4,8,0,0,2,0,1,0,0,35,0,1,0,2572.0,1,3,0,0,0,4,0,1,0,0,0.5,2
10851,0.68,1,0,2,0.28,3,7,0.875,0,1.8,20,0,0,7,0,0,0,0,45,0,2,1,3617.0,1,1,0,0,0,1,0,2,0,1,0.875,3
3143,0.26666666666666666,0,0,6,0.6666666666666666,1,10,0.7272727272727273,0,2.8,8,0,0,8,7,0,0,0,33,0,4,0,3143.0,1,4,0,0,0,1,0,1,1,1,0.5454545454545454,3
6500,0.42857142857142855,0,0,5,0.42857142857142855,2,3,0.5,0,2.4,8,0,0,2,1,0,0,1,34,0,3,0,3250.0,1,3,0,0,0,1,0,1,0,0,0.5,3
2099,0.14285714285714285,0,0,0,0.7142857142857143,1,5,0.0,0,2.4,11,0,0,0,1,0,0,0,27,1,2,0,2099.0,0,3,0,0,0,1,0,3,0,1,0.6666666666666666,4
5238,0.8461538461538461,1,0,4,0.07692307692307693,2,1,0.0,0,2.6,3,0,0,0,0,0,0,1,39,0,4,0,2619.0,0,3,0,0,0,3,0,3,0,0,0.0,2
2404,0.0,0,0,1,0.5,1,1,0.0,0,2.8,7,0,0,0,0,1,0,0,35,0,4,0,2404.0,1,3,0,0,0,3,0,3,0,0,0.0,3
6524,0.0,0,0,1,0.9090909090909091,2,10,0.7272727272727273,0,2.8,5,0,0,8,5,0,1,1,32,0,2,0,3262.0,1,3,0,0,0,2,0,3,0,0,0.2727272727272727,3
3202,0.14285714285714285,1,0,1,0.7142857142857143,1,5,0.5,0,2.2,1,0,0,3,1,1,0,0,24,0,1,0,3202.0,0,3,1,0,0,2,1,4,0,0,0.6666666666666666,3
2366,0.0,1,0,1,0.8888888888888888,1,8,0.7777777777777778,0,2.4,5,0,0,7,1,0,1,0,26,0,3,0,2366.0,1,2,0,0,0,3,0,2,1,1,0.7777777777777778,3
4422,0.8823529411764706,1,0,3,0.058823529411764705,2,1,0.5,0,2.8,26,0,0,1,0,0,1,0,40,0,3,0,2211.0,1,2,0,0,0,4,0,3,1,1,0.0,1
18300,0.8181818181818182,0,1,4,0.13636363636363635,5,3,0.5,0,3.0,5,0,0,2,1,0,0,0,47,0,4,0,3660.0,1,3,0,0,0,3,0,2,0,1,0.25,3
4741,0.0,1,0,1,0.8333333333333334,2,5,0.5,0,2.2,11,0,0,3,3,0,1,0,26,0,1,1,2370.5,1,3,0,0,0,1,0,3,0,1,0.5,3
3280,0.5454545454545454,0,0,2,0.36363636363636365,1,4,0.4,0,3.2,1,0,0,2,1,0,0,0,34,0,2,0,3280.0,0,4,1,0,0,4,0,2,1,1,0.6,3
5561,0.14285714285714285,0,0,0,0.7142857142857143,2,5,0.5,0,2.2,18,0,0,3,0,0,0,1,35,0,2,0,2780.5,1,3,0,0,0,1,0,2,0,0,0.6666666666666666,1
